,TP,FP,TN,FN,A,B,C,D,E,F,G,H,Precision,Fitness,F1,N,P,T
0,424,65,435,76,1,0,0,0,0,1,1,0,0.8670756646216768,0.848,0.8574317492416581,0.8605341246290802,0.8574317492416581,0.8590028008057193
1,346,116,384,154,0,0,0,0,1,1,0,0,0.7489177489177489,0.692,0.7193347193347193,0.7398843930635838,0.7193347193347193,0.7301444107208617
2,409,72,428,91,1,0,1,0,0,1,1,0,0.8503118503118503,0.818,0.8338430173292557,0.8400392541707556,0.8338430173292557,0.8370114634083023
3,393,109,391,107,0,0,1,0,1,1,0,0,0.7828685258964143,0.786,0.784431137724551,0.7835671342685371,0.784431137724551,0.7840002380417685
4,446,43,457,54,0,0,0,1,1,1,1,1,0.9120654396728016,0.892,0.9019211324570273,0.904055390702275,0.9019211324570273,0.9030012609377341
5,400,45,455,100,0,0,1,1,1,1,1,1,0.898876404494382,0.8,0.8465608465608465,0.862559241706161,0.8465608465608465,0.8550746123984115
6,400,45,455,100,0,0,1,1,1,1,1,0,0.898876404494382,0.8,0.8465608465608465,0.862559241706161,0.8465608465608465,0.8550746123984115
7,372,90,410,128,1,0,1,1,0,1,0,0,0.8051948051948052,0.744,0.7733887733887734,0.7899807321772641,0.7733887733887734,0.7820878822164987
8,446,43,457,54,0,0,0,1,1,1,1,0,0.9120654396728016,0.892,0.9019211324570273,0.904055390702275,0.9019211324570273,0.9030012609377341
9,397,83,417,103,1,0,0,1,0,1,0,0,0.8270833333333333,0.794,0.810204081632653,0.8176470588235294,0.810204081632653,0.8140170072943181
10,409,72,428,91,1,0,1,0,0,1,1,1,0.8503118503118503,0.818,0.8338430173292557,0.8400392541707556,0.8338430173292557,0.8370114634083023
11,424,65,435,76,1,0,0,0,0,1,1,1,0.8670756646216768,0.848,0.8574317492416581,0.8605341246290802,0.8574317492416581,0.8590028008057193
12,437,29,471,63,0,2,1,1,0,1,1,1,0.9377682403433476,0.874,0.9047619047619047,0.9110251450676982,0.9047619047619047,0.9080107882244914
13,495,9,491,5,0,2,0,1,0,1,1,1,0.9821428571428571,0.99,0.9860557768924304,0.9859437751004014,0.9860557768924304,0.9860000031805783
14,493,1,499,7,0,1,0,1,1,0,1,1,0.9979757085020243,0.986,0.9919517102615695,0.9920477137176937,0.9919517102615695,0.9920000023226643
15,490,3,497,10,0,1,1,1,1,0,1,1,0.9939148073022313,0.98,0.9869083585095669,0.9870903674280039,0.9869083585095669,0.987000008390482
16,407,94,406,93,0,2,1,0,0,1,0,0,0.812375249500998,0.814,0.8131868131868132,0.8128128128128129,0.8131868131868132,0.8130000430123431
17,317,177,323,183,1,2,1,0,1,1,1,0,0.6417004048582996,0.634,0.6378269617706237,0.6421471172962226,0.6378269617706237,0.6400072902624494
18,359,134,366,141,0,2,0,0,0,1,0,0,0.7281947261663286,0.718,0.7230614300100705,0.726911618669315,0.7230614300100705,0.725005111457358
19,358,137,363,142,1,2,0,0,1,1,1,0,0.7232323232323232,0.716,0.7195979899497488,0.7223880597014924,0.7195979899497488,0.7210026991312785
20,499,0,500,1,0,1,0,0,1,0,0,0,1.0,0.998,0.998998998998999,0.9990009990009989,0.998998998998999,0.999000000001001
21,422,71,429,78,1,1,0,0,0,0,1,0,0.8559837728194726,0.844,0.8499496475327292,0.8520357497517378,0.8499496475327292,0.8510012783810895
22,485,18,482,15,0,1,1,0,1,0,0,0,0.9642147117296223,0.97,0.967098703888335,0.9669007021063191,0.967098703888335,0.9670000101355617
23,410,61,439,90,1,1,1,0,0,0,1,0,0.8704883227176221,0.82,0.8444902162718846,0.8532555879494655,0.8444902162718846,0.8490226051605277
24,410,61,439,90,1,1,1,0,0,0,1,1,0.8704883227176221,0.82,0.8444902162718846,0.8532555879494655,0.8444902162718846,0.8490226051605277
25,422,71,429,78,1,1,0,0,0,0,1,1,0.8559837728194726,0.844,0.8499496475327292,0.8520357497517378,0.8499496475327292,0.8510012783810895
26,358,137,363,142,1,2,0,0,1,1,1,1,0.7232323232323232,0.716,0.7195979899497488,0.7223880597014924,0.7195979899497488,0.7210026991312785
27,317,177,323,183,1,2,1,0,1,1,1,1,0.6417004048582996,0.634,0.6378269617706237,0.6421471172962226,0.6378269617706237,0.6400072902624494
28,461,34,466,39,1,1,1,1,0,0,0,0,0.9313131313131313,0.922,0.9266331658291457,0.927363184079602,0.9266331658291457,0.927000143719882
29,490,3,497,10,0,1,1,1,1,0,1,0,0.9939148073022313,0.98,0.9869083585095669,0.9870903674280039,0.9869083585095669,0.987000008390482
30,486,19,481,14,1,1,0,1,0,0,0,0,0.9623762376237623,0.972,0.9671641791044775,0.9668341708542714,0.9671641791044775,0.9670000281547887
31,493,1,499,7,0,1,0,1,1,0,1,0,0.9979757085020243,0.986,0.9919517102615695,0.9920477137176937,0.9919517102615695,0.9920000023226643
32,225,260,240,275,1,2,0,1,1,1,0,0,0.4639175257731959,0.45,0.45685279187817257,0.4729064039408867,0.45685279187817257,0.46513852713634757
33,495,9,491,5,0,2,0,1,0,1,1,0,0.9821428571428571,0.99,0.9860557768924304,0.9859437751004014,0.9860557768924304,0.9860000031805783
34,410,75,425,90,1,2,1,1,1,1,0,0,0.845360824742268,0.82,0.83248730964467,0.8374384236453202,0.83248730964467,0.8350073377288333
35,437,29,471,63,0,2,1,1,0,1,1,0,0.9377682403433476,0.874,0.9047619047619047,0.9110251450676982,0.9047619047619047,0.9080107882244914
36,431,67,433,69,1,1,1,1,0,0,1,0,0.8654618473895582,0.862,0.8637274549098196,0.8642714570858283,0.8637274549098196,0.8640000856299721
37,492,0,500,8,0,1,1,1,1,0,0,0,1.0,0.984,0.9919354838709677,0.9920634920634921,0.9919354838709677,0.9920000041292965
38,460,46,454,40,1,1,0,1,0,0,1,0,0.9090909090909091,0.92,0.9145129224652088,0.9134808853118713,0.9145129224652088,0.9140002913190215
39,495,1,499,5,0,1,0,1,1,0,0,0,0.9979838709677419,0.99,0.9939759036144579,0.9940239043824701,0.9939759036144579,0.9940000005794861
40,377,130,370,123,1,2,0,1,1,1,1,0,0.7435897435897436,0.754,0.7487586891757696,0.7452165156092648,0.7487586891757696,0.7470041989219454
41,411,85,415,89,0,2,0,1,0,1,0,0,0.8286290322580645,0.822,0.825301204819277,0.8266932270916334,0.825301204819277,0.8260005864694319
42,383,72,428,117,1,2,1,1,1,1,1,0,0.8417582417582418,0.766,0.8020942408376963,0.8191387559808613,0.8020942408376963,0.8110893733670115
43,423,89,411,77,0,2,1,1,0,1,0,0,0.826171875,0.846,0.8359683794466403,0.8319838056680161,0.8359683794466403,0.8340047585557355
44,401,74,426,99,0,1,1,0,1,0,1,1,0.8442105263157895,0.802,0.8225641025641027,0.8312195121951219,0.8225641025641027,0.8270226327972516
45,460,16,484,40,0,1,0,0,1,0,1,1,0.9663865546218487,0.92,0.9426229508196722,0.9453124999999999,0.9426229508196722,0.9440019145943318
46,480,24,476,20,0,2,0,0,0,1,1,1,0.9523809523809523,0.96,0.9561752988047808,0.9558232931726908,0.9561752988047808,0.9560000324021921
47,453,57,443,47,0,2,1,0,0,1,1,1,0.888235294117647,0.906,0.8970297029702969,0.8949494949494948,0.8970297029702969,0.8960012072635833
48,453,57,443,47,0,2,1,0,0,1,1,0,0.888235294117647,0.906,0.8970297029702969,0.8949494949494948,0.8970297029702969,0.8960012072635833
49,367,119,381,133,1,2,1,0,1,1,0,0,0.7551440329218106,0.734,0.744421906693712,0.7514792899408284,0.744421906693712,0.7480166433476575
50,480,24,476,20,0,2,0,0,0,1,1,0,0.9523809523809523,0.96,0.9561752988047808,0.9558232931726908,0.9561752988047808,0.9560000324021921
51,363,148,352,137,1,2,0,0,1,1,0,0,0.7103718199608611,0.726,0.7181008902077152,0.711830131445905,0.7181008902077152,0.7150137474326702
52,460,16,484,40,0,1,0,0,1,0,1,0,0.9663865546218487,0.92,0.9426229508196722,0.9453124999999999,0.9426229508196722,0.9440019145943318
53,407,80,420,93,1,1,0,0,0,0,0,0,0.8357289527720739,0.814,0.8247213779128673,0.8292201382033563,0.8247213779128673,0.8270061171172269
54,401,74,426,99,0,1,1,0,1,0,1,0,0.8442105263157895,0.802,0.8225641025641027,0.8312195121951219,0.8225641025641027,0.8270226327972516
55,388,68,432,112,1,1,1,0,0,0,0,0,0.8508771929824561,0.776,0.8117154811715482,0.8275862068965517,0.8117154811715482,0.8200766439925258
56,383,72,428,117,1,2,1,1,1,1,1,1,0.8417582417582418,0.766,0.8020942408376963,0.8191387559808613,0.8020942408376963,0.8110893733670115
57,377,130,370,123,1,2,0,1,1,1,1,1,0.7435897435897436,0.754,0.7487586891757696,0.7452165156092648,0.7487586891757696,0.7470041989219454
58,460,46,454,40,1,1,0,1,0,0,1,1,0.9090909090909091,0.92,0.9145129224652088,0.9134808853118713,0.9145129224652088,0.9140002913190215
59,431,67,433,69,1,1,1,1,0,0,1,1,0.8654618473895582,0.862,0.8637274549098196,0.8642714570858283,0.8637274549098196,0.8640000856299721
60,313,202,298,187,0,0,1,0,1,1,1,1,0.6077669902912621,0.626,0.6167487684729064,0.6050761421319797,0.6167487684729064,0.6110557363131746
61,341,137,363,159,0,0,0,0,1,1,1,1,0.7133891213389121,0.682,0.6973415132924335,0.7103718199608611,0.6973415132924335,0.7040602651683415
62,340,122,378,160,0,0,1,1,1,1,0,0,0.7359307359307359,0.68,0.7068607068607069,0.7283236994219652,0.7068607068607069,0.7181601653400324
63,419,66,434,81,1,0,1,1,0,1,1,0,0.8639175257731959,0.838,0.8507614213197969,0.8551724137931034,0.8507614213197969,0.8530057011948439
64,443,45,455,57,0,0,0,1,1,1,0,0,0.9077868852459017,0.886,0.8967611336032387,0.8992094861660078,0.8967611336032387,0.8980016685877152
65,472,15,485,28,1,0,0,1,0,1,1,0,0.9691991786447639,0.944,0.956433637284701,0.9575518262586377,0.956433637284701,0.9570003265766125
