model,size,activities,is_sound,alignments_fitness,alignments_precision
AIM_Sepsis_Cases_-_Event_Log_230225.xes.pnml,119,16,True,0.9133569459290126,0.6219633886174386
AIM_Sepsis_Cases_-_Event_Log_240917.xes.pnml,80,10,True,0.8543975941908135,0.6783292902904771
AIM_Sepsis_Cases_-_Event_Log_440326.xes.pnml,87,11,True,0.8559208982556464,0.6765408356338596
AIM_Sepsis_Cases_-_Event_Log_260921.xes.pnml,112,16,True,0.9006649835551559,0.6876623958426664
AIM_Sepsis_Cases_-_Event_Log_178181.xes.pnml,80,10,True,0.8570872430821759,0.6783292902904771
AIM_BPI_Challenge_2020_Travel_Permit_Data_230225.xes.pnml,143,18,True,0.8091145014293966,0.5240770735182434
AIM_BPI_Challenge_2020_Travel_Permit_Data_260921.xes.pnml,136,18,True,0.8041416367565128,0.5416863755014804
AIM_BPI_Challenge_2020_Travel_Permit_Data_440326.xes.pnml,133,18,True,0.7931076571705624,0.5767269875063028
AIM_BPI_Challenge_2020_Travel_Permit_Data_240917.xes.pnml,136,18,True,0.7989960383673863,0.5416863755014804
AIM_BPI_Challenge_2020_Travel_Permit_Data_178181.xes.pnml,136,18,True,0.7906399167700607,0.5416863755014804
AIM_BPI_Challenge_2013_closed_problems_260921.xes.pnml,16,3,True,0.7601831779326688,0.9987732211706976
AIM_BPI_Challenge_2020_Prepaid_Travel_Costs_260921.xes.pnml,61,10,True,0.8567564100061882,0.8840284281857749
AIM_BPI_Challenge_2020_Request_For_Payment_440326.xes.pnml,70,10,True,0.9322452798239794,0.785532931746901
AIM_BPI_Challenge_2013_Incidents_230225.xes.pnml,37,3,True,0.9116212646604693,0.9878370656580774
AIM_BPI_Challenge_2013_closed_problems_178181.xes.pnml,16,3,True,0.7569145028477863,0.9987732211706976
AIM_BPI_Challenge_2013_Incidents_440326.xes.pnml,37,3,True,0.9034552680378113,0.9878370656580774
AIM_BPI_Challenge_2020_Request_For_Payment_178181.xes.pnml,101,12,True,0.9254751986398964,0.5964167370131915
