model,size,activities,is_sound,alignments_fitness,alignments_precision
IMf_BPI_Challenge_2020_Prepaid_Travel_Costs_440326.xes.pnml,239,25,True,0.8786796391113934,0.3781458906802989
IMf_BPI_Challenge_2017_440326.xes.pnml,285,25,True,0.9592150581779433,0.18482562286594273
IMf_BPI_Challenge_2020_Request_For_Payment_178181.xes.pnml,160,15,True,0.9163507519599948,0.39768637018077113
IMf_BPI_Challenge_2020_Travel_Permit_Data_440326.xes.pnml,442,41,True,0.764729820364625,0.26401712045511094
IMf_BPI_Challenge_2020_Request_For_Payment_230225.xes.pnml,164,17,True,0.9129270891048532,0.34995300093998116
IMf_Sepsis_Cases_-_Event_Log_260921.xes.pnml,153,14,True,0.955015227409134,0.4765539044329624
IMf_BPI_Challenge_2013_Incidents_240917.xes.pnml,48,4,True,0.9550020076645048,0.7163914179079295
IMf_Sepsis_Cases_-_Event_Log_440326.xes.pnml,153,16,True,0.9614283476086638,0.42812006319115326
IMf_BPI_Challenge_2020_Travel_Permit_Data_260921.xes.pnml,429,42,True,0.7589083288644858,0.25500522820766147
IMf_BPI_Challenge_2013_closed_problems_178181.xes.pnml,45,3,True,0.9852381911174171,0.9426073510170097
IMf_BPI_Challenge_2020_Domestic_Declarations_178181.xes.pnml,130,16,True,0.9214607840341268,0.3757854571375516
IMf_BPI_Challenge_2020_International_Declarations_240917.xes.pnml,293,30,True,0.8828506463762215,0.3141469850903813
IMf_BPI_Challenge_2020_Prepaid_Travel_Costs_260921.xes.pnml,247,29,True,0.8717455246712829,0.4228087430089691
IMf_BPI_Challenge_2013_closed_problems_230225.xes.pnml,52,4,True,0.9890781613689152,0.9470205909661915
IMf_BPI_Challenge_2020_Domestic_Declarations_230225.xes.pnml,126,16,True,0.9360563181305617,0.3757651991614256
IMf_Sepsis_Cases_-_Event_Log_240917.xes.pnml,144,15,True,0.9587084008274052,0.44276518331933945
IMf_BPI_Challenge_2013_Incidents_440326.xes.pnml,48,4,True,0.955469908063166,0.7163914179079295
IMf_BPI_Challenge_2020_International_Declarations_440326.xes.pnml,289,30,True,0.886788544529262,0.33682926442863703
